trade_num,entry_time,exit_time,direction,entry_price,exit_price,position_usd,pnl,win,exit_reason,bars_held,session
8054,2023-11-17 14:05:00,2023-11-17 14:35:00,LONG,36302.81,36246.11,1800,-1.44,False,SL,6,NY open
8055,2023-11-17 14:35:00,2023-11-17 14:40:00,LONG,36246.11,36176.0,1800,-1.44,False,SL,1,NY open
8056,2023-11-17 14:40:00,2023-11-17 14:45:00,LONG,36176.0,36078.52,1800,-1.44,False,SL,1,NY open
8057,2023-11-17 14:45:00,2023-11-17 14:50:00,LONG,36078.52,35892.66,1800,-1.44,False,SL,1,NY open
8058,2023-11-17 14:50:00,2023-11-17 14:55:00,LONG,35892.66,36015.53,1800,4.5,True,TP,1,NY open
8059,2023-11-17 14:55:00,2023-11-17 15:00:00,LONG,36015.53,35950.74,1800,-1.44,False,SL,1,NY open
8060,2023-11-17 15:00:00,2023-11-17 15:05:00,LONG,35950.74,36119.99,1800,4.5,True,TP,1,NY open
8061,2023-11-17 15:35:00,2023-11-17 16:05:00,LONG,35973.78,36155.08,1800,4.5,True,TP,6,NY open
8062,2023-11-18 07:00:00,2023-11-18 07:20:00,LONG,36216.01,36311.99,1800,4.5,True,TP,4,London open
8063,2023-11-19 14:05:00,2023-11-19 14:40:00,LONG,36429.12,36481.99,1800,2.61,True,TIME,7,NY open
8064,2023-11-19 15:00:00,2023-11-19 15:20:00,LONG,36416.01,36528.86,1800,4.5,True,TP,4,NY open
8065,2023-11-20 08:40:00,2023-11-20 09:15:00,LONG,37070.0,37151.09,1800,3.94,True,TIME,7,London open
8066,2023-11-20 14:10:00,2023-11-20 14:20:00,LONG,36873.85,36975.12,1800,4.5,True,TP,2,NY open
8067,2023-11-20 14:20:00,2023-11-20 14:25:00,LONG,36975.12,37115.13,1800,4.5,True,TP,1,NY open
8068,2023-11-21 07:05:00,2023-11-21 07:25:00,LONG,37298.63,37258.46,1800,-1.44,False,SL,4,London open
8069,2023-11-21 07:25:00,2023-11-21 08:00:00,LONG,37258.46,37282.31,1800,1.15,True,TIME,7,London open
8070,2023-11-21 09:55:00,2023-11-21 10:30:00,LONG,37314.01,37391.11,1800,3.72,True,TIME,7,out of session
8071,2023-11-21 13:35:00,2023-11-21 13:40:00,LONG,37096.59,37063.63,1800,-1.44,False,SL,1,NY open
8072,2023-11-21 13:40:00,2023-11-21 13:55:00,LONG,37063.63,37011.88,1800,-1.44,False,SL,3,NY open
8073,2023-11-21 13:55:00,2023-11-21 14:00:00,LONG,37011.88,36961.46,1800,-1.44,False,SL,1,NY open
8074,2023-11-21 14:00:00,2023-11-21 14:05:00,LONG,36961.46,36910.4,1800,-1.44,False,SL,1,NY open
8075,2023-11-21 14:05:00,2023-11-21 14:30:00,LONG,36910.4,36828.04,1800,-1.44,False,SL,5,NY open
8076,2023-11-21 14:30:00,2023-11-21 14:40:00,LONG,36828.04,36678.81,1800,-1.44,False,SL,2,NY open
8077,2023-11-21 14:40:00,2023-11-21 14:50:00,LONG,36678.81,36522.14,1800,-1.44,False,SL,2,NY open
8078,2023-11-21 14:50:00,2023-11-21 14:55:00,LONG,36522.14,36635.97,1800,4.5,True,TP,1,NY open
8079,2023-11-21 14:55:00,2023-11-21 15:00:00,LONG,36635.97,36578.01,1800,-1.44,False,SL,1,NY open
8080,2023-11-21 15:00:00,2023-11-21 15:05:00,LONG,36578.01,36396.66,1800,-1.44,False,SL,1,NY open
8081,2023-11-21 15:05:00,2023-11-21 15:35:00,LONG,36396.66,36515.11,1800,4.5,True,TP,6,NY open
