date,entry,exit_price,pnl,win,bars_held,stop_hit,tp_hit,score,rsi,bb_pct,bb_width,vwap_dist,vol_spike,mom3,atr_pct,hour,weekday,above_ema50,above_ema200,ema50_gt_200,fresh_cross,below_vwap
2023-12-08 17:20,43658.0,43769.99,0.2565,True,8,False,True,3.0,25.88,0.018,0.0078,-0.00373,1.2,-0.00086,0.00173,17,4,0,1,1,0,1
2023-12-11 07:00,42209.99,42130.01,-0.1895,False,8,True,False,2.0,63.75,1.076,0.0102,0.00602,1.68,0.00827,0.00317,7,0,1,0,0,1,0
2023-12-11 08:10,42046.36,42184.48,0.3285,True,6,False,True,2.5,31.7,0.363,0.012,-0.00218,0.87,-0.00204,0.002,8,0,0,0,0,0,1
2023-12-11 11:25,42272.88,42224.14,-0.1153,False,14,True,False,2.5,37.82,-0.112,0.0044,-0.00263,2.06,-0.00384,0.00148,11,0,0,0,0,0,1
2023-12-11 12:35,42224.14,42185.55,-0.0914,False,9,True,False,2.0,44.09,0.07,0.006,-0.00221,1.62,-0.00258,0.00154,12,0,0,0,0,0,1
2023-12-11 13:20,42185.55,42132.21,-0.1264,False,1,True,False,3.0,27.11,0.148,0.0056,-0.00207,0.58,-0.00105,0.00108,13,0,0,0,0,0,1
2023-12-11 13:25,42132.21,42040.94,-0.2166,False,2,True,False,3.0,19.39,0.012,0.0062,-0.00307,1.53,-0.00241,0.00113,13,0,0,0,0,0,1
2023-12-11 13:35,42040.94,41934.0,-0.2544,False,2,True,False,3.0,22.0,-0.112,0.0075,-0.00454,1.68,-0.00343,0.00124,13,0,0,0,0,0,1
2023-12-11 13:45,41934.0,42107.16,0.4129,True,1,False,True,3.0,23.17,-0.151,0.0099,-0.00588,2.1,-0.00498,0.00147,13,0,0,0,0,0,1
2023-12-11 13:50,42107.16,42003.99,-0.245,False,1,True,False,2.0,43.27,0.286,0.0095,-0.00132,2.17,0.00158,0.00183,13,0,0,0,0,0,1
2023-12-11 13:55,42003.99,41969.98,-0.081,False,2,True,False,2.0,36.37,0.069,0.0094,-0.00342,1.04,-0.0018,0.00199,13,0,0,0,0,0,1
2023-12-11 14:05,41969.98,41881.84,-0.21,False,2,True,False,3.0,35.0,0.079,0.0098,-0.00338,1.34,-0.00326,0.00219,14,0,0,0,0,0,1
2023-12-11 14:15,41881.84,41988.89,0.2556,True,4,False,True,3.0,28.74,0.008,0.0111,-0.00461,1.65,-0.00308,0.0024,14,0,0,0,0,0,1
2023-12-11 14:55,41850.0,41968.01,0.282,True,3,False,True,2.0,45.27,0.136,0.0093,-0.00317,0.93,-0.00215,0.00317,14,0,0,0,0,0,1
2023-12-11 15:35,41854.46,41773.54,-0.1933,False,2,True,False,2.0,48.17,0.171,0.0052,-0.00183,0.57,-0.00247,0.00258,15,0,0,0,0,0,1
2023-12-11 15:45,41773.54,41725.86,-0.1141,False,3,True,False,3.0,34.02,-0.046,0.0058,-0.00321,1.92,-0.00332,0.00264,15,0,0,0,0,0,1
2023-12-11 16:00,41725.86,41689.08,-0.0881,False,1,True,False,2.0,35.24,-0.046,0.0071,-0.00397,1.09,-0.00114,0.00241,16,0,0,0,0,0,1
2023-12-11 16:05,41689.08,41605.42,-0.2007,False,1,True,False,2.0,38.2,-0.047,0.0083,-0.00444,1.85,-0.00417,0.00242,16,0,0,0,0,0,1
2023-12-11 16:10,41605.42,41391.1,-0.5151,False,1,True,False,3.0,32.28,-0.113,0.0101,-0.00564,2.6,-0.00474,0.00267,16,0,0,0,0,0,1
2023-12-11 16:15,41391.1,41680.59,0.6994,True,1,False,True,3.0,25.54,-0.26,0.014,-0.00928,2.83,-0.00802,0.00303,16,0,0,0,0,0,1
2023-12-11 17:40,41533.54,41436.96,-0.2325,False,1,True,False,2.0,42.49,0.18,0.0094,-0.00256,0.75,-0.00239,0.0029,17,0,0,0,0,0,1
2023-12-11 17:45,41436.96,41309.73,-0.307,False,1,True,False,3.0,26.78,0.022,0.0105,-0.00467,0.62,-0.00339,0.00279,17,0,0,0,0,0,1
2023-12-11 17:50,41309.73,41235.94,-0.1786,False,2,True,False,3.0,23.89,-0.106,0.0128,-0.00736,1.2,-0.00745,0.00292,17,0,0,0,0,0,1
2023-12-11 18:00,41235.94,41146.01,-0.2181,False,1,True,False,3.0,26.4,-0.072,0.0156,-0.00834,2.35,-0.00485,0.00291,18,0,0,0,0,0,1
2023-12-11 18:05,41146.01,41017.9,-0.3114,False,1,True,False,3.0,16.23,-0.072,0.0181,-0.00947,1.64,-0.00396,0.00311,18,0,0,0,0,0,1
